gene,locus
cmtA,b2933
cmtB,b2934
tktA,b2935
loiP,b2936
speB,b2937
speA,b2938
yqgB,b2939
yqgC,b2940
metK,b2942
galP,b2943
yggI,b2944
endA,b2945
rsmE,b2946
gshB,b2947
yqgE,b2948
yqgF,b2949
yggR,b2950
yggS,b2951
yggT,b2952
yggU,b2953
rdgB,b2954
yggW,b2955
yggM,b2956
ansB,b2957
yggN,b2958
yggL,b2959
trmI,b2960
mutY,b2961
yggX,b2962
mltC,b2963
nupG,b2964
speC,b2965
yqgA,b2966
pheV,b2967
yghD,b2968
yghE,b2969
yghF,b2970
yghG,b2971
pppA,b2972
sslE,b4466
glcA,b2975
glcB,b2976
glcG,b2977
glcF,b4467
glcE,b4468
glcD,b2979
glcC,b2980
yghO,b2981
insH1_8,b2982
yghQ,b2983
yghR,b2984
yghS,b2985
yghT,b2986
pitB,b2987
gss,b2988
yghU,b2989
hybG,b2990
hybF,b2991
hybE,b2992
hybD,b2993
hybC,b2994
hybB,b2995
hybA,b2996
hybO,b2997
yghW,b2998
yghX,b4658
gpr,b3001
yqhA,b3002
yghA,b3003
exbD,b3005
exbB,b3006
metC,b3008
yghB,b3009
yqhC,b3010
yqhD,b3011
dkgA,b3012
yqhG,b3013
yqhH,b3014
ygiQ,b4469
ftsP,b3017
plsC,b3018
parC,b3019
ygiS,b3020
mqsA,b3021
mqsR,b3022
ygiV,b3023
ygiW,b3024
qseB,b3025
qseC,b3026
ygiZ,b3027
mdaB,b3028
ygiN,b3029
parE,b3030
yqiA,b3031
cpdA,b3032
yqiB,b3033
nudF,b3034
tolC,b3035
ygiB,b3037
ygiC,b3038
ygiD,b3039
zupT,b3040
ribB,b3041
yqiC,b3042
ygiL,b3043
yqiG,b3046
insC1_4,b3044
insD1_5,b3045
yqiH,b3047
yqiI,b3048
glgS,b3049
yqiJ,b3050
yqiK,b3051
sibD,b4447
ibsD,b4664
sibE,b4611
ibsE,b4666
hldE,b3052
glnE,b3053
ygiF,b3054
ygiM,b3055
cca,b3056
bacA,b3057
folB,b3058
plsY,b3059
ttdR,b3060
ttdA,b3061
ttdB,b3062
ttdT,b3063
tsaD,b3064
rpsU,b3065
dnaG,b3066
rpoD,b3067
mug,b3068
ileX,b3069
yqjH,b3070
yqjI,b3071
aer,b3072
patA,b3073
ygjH,b3074
ebgR,b3075
ebgA,b3076
ebgC,b3077
ygjI,b3078
ygjJ,b3079
ygjK,b3080
fadH,b3081
higA,b3082
higB,b3083
rlmG,b3084
ygjP,b3085
ygjQ,b3086
ygjR,b3087
alx,b3088
sstT,b3089
ygjV,b3090
uxaA,b3091
uxaC,b3092
exuT,b3093
exuR,b3094
yqjA,b3095
mzrA,b3096
yqjC,b3097
yqjD,b3098
yqjE,b3099
yqjK,b3100
yqjF,b3101
yqjG,b3102
yhaH,b3103
yhaI,b3104
yhaJ,b3105
yhaK,b3106
yhaL,b3107
yhaM,b4470
yhaO,b3110
tdcG,b4471
tdcF,b3113
tdcE,b3114
tdcD,b3115
tdcC,b3116
tdcB,b3117
tdcA,b3118
tdcR,b3119
yhaB,b3120
yhaC,b3121
rnpB,b3123
garK,b3124
garR,b3125
garL,b3126
garP,b3127
garD,b3128
prlF,b3129
yhaV,b3130
agaR,b3131
kbaZ,b3132
agaV,b3133
agaW,b3134
agaA,b3135
agaS,b3136
kbaY,b3137
agaB,b3138
agaC,b3139
agaD,b3140
agaI,b3141
yraH,b3142
yraI,b3143
yraJ,b3144
yraK,b3145
rsmI,b3146
lpoA,b3147
yraN,b3148
diaA,b3149
yraP,b3150
yraQ,b3151
yraR,b3152
yhbO,b3153
yhbP,b3154
yhbQ,b3155
yhbS,b3156
yhbT,b3157
yhbU,b3158
yhbV,b3159
yhbW,b3160
mtr,b3161
deaD,b3162
yrbN,b4685
nlpI,b3163
pnp,b3164
psrO,b4449
rpsO,b3165
truB,b3166
rbfA,b3167
infB,b3168
nusA,b3169
rimP,b3170
metY,b3171
argG,b3172
yhbX,b3173
leuU,b3174
secG,b3175
glmM,b3176
folP,b3177
ftsH,b3178
rlmE,b3179
yhbY,b3180
greA,b3181
dacB,b3182
obgE,b3183
yhbE,b3184
rpmA,b3185
rplU,b3186
ispB,b3187
sfsB,b3188
murA,b3189
ibaG,b3190
mlaB,b3191
mlaC,b3192
mlaD,b3193
mlaE,b3194
mlaF,b3195
yrbG,b3196
kdsD,b3197
kdsC,b3198
lptC,b3199
lptA,b3200
lptB,b3201
rpoN,b3202
hpf,b3203
ptsN,b3204
yhbJ,b3205
npr,b3206
yrbL,b3207
mtgA,b3208
elbB,b3209
arcZ,b4450
arcB,b3210
yhcC,b3211
gltB,b3212
gltD,b3213
gltF,b3214
yhcA,b3215
yhcD,b3216
yhcE,b4569
insH1_9,b3218
yhcF,b3219
yhcG,b3220
yhcH,b3221
nanK,b3222
nanE,b3223
nanT,b3224
nanA,b3225
nanR,b3226
dcuD,b3227
sspB,b3228
sspA,b3229
rpsI,b3230
rplM,b3231
zapE,b3232
yhcB,b3233
degQ,b3234
degS,b3235
mdh,b3236
argR,b3237
yhcN,b3238
yhcO,b3239
aaeB,b3240
aaeA,b3241
aaeX,b3242
aaeR,b3243
tldD,b3244
yhdP,b4472
rng,b3247
yhdE,b3248
mreD,b3249
mreC,b3250
mreB,b3251
csrD,b3252
acuI,b3253
yrdF,b4697
yrdE,b4646
accB,b3255
accC,b3256
yhdT,b3257
panF,b3258
prmA,b3259
dusB,b3260
fis,b3261
yhdJ,b3262
yhdU,b3263
acrS,b3264
acrE,b3265
acrF,b3266
yhdV,b3267
yhdW,b3268
yhdX,b3269
yhdY,b3270
yhdZ,b3271
rrfF,b3272
thrV,b3273
rrfD,b3274
rrlD,b3275
alaU,b3276
ileU,b3277
rrsD,b3278
yrdA,b3279
yrdB,b3280
aroE,b3281
tsaC,b3282
yrdD,b3283
smg,b3284
smf,b4473
def,b3287
fmt,b3288
rsmB,b3289
trkA,b3290
mscL,b3291
arfA,b4550
zntR,b3292
yhdN,b3293
rplQ,b3294
rpoA,b3295
rpsD,b3296
rpsK,b3297
rpsM,b3298
rpmJ,b3299
secY,b3300
rplO,b3301
rpmD,b3302
rpsE,b3303
rplR,b3304
rplF,b3305
rpsH,b3306
rpsN,b3307
rplE,b3308
rplX,b3309
rplN,b3310
rpsQ,b3311
rpmC,b3312
rplP,b3313
rpsC,b3314
rplV,b3315
rpsS,b3316
rplB,b3317
rplW,b3318
rplD,b3319
rplC,b3320
rpsJ,b3321
gspB,b3322
gspA,b3323
gspC,b3324
gspD,b3325
gspE,b3326
gspF,b3327
gspG,b3328
gspH,b3329
gspI,b3330
gspJ,b3331
gspK,b3332
gspL,b3333
gspM,b3334
gspO,b3335
bfr,b3336
bfd,b3337
chiA,b3338
tufA,b3339
fusA,b3340
rpsG,b3341
rpsL,b3342
tusB,b3343
tusC,b3344
tusD,b3345
yheO,b3346
fkpA,b3347
slyX,b3348
slyD,b3349
yheV,b4551
kefB,b3350
kefG,b3351
yheS,b3352
yheT,b3353
yheU,b3354
prkB,b3355
yhfA,b3356
crp,b3357
yhfK,b3358
argD,b3359
pabA,b3360
fic,b3361
yhfG,b3362
ppiA,b3363
tsgA,b3364
nirB,b3365
nirD,b3366
nirC,b3367
cysG,b3368
yhfL,b3369
frlA,b3370
frlB,b3371
frlC,b4474
frlD,b3374
frlR,b3375
yhfS,b3376
yhfT,b3377
yhfU,b3378
php,b3379
yhfW,b3380
yhfX,b3381
yhfY,b3382
yhfZ,b3383
trpS,b3384
gph,b3385
rpe,b3386
dam,b3387
damX,b3388
aroB,b3389
aroK,b3390
hofQ,b3391
hofP,b3392
hofO,b3393
hofN,b3394
hofM,b3395
mrcA,b3396
nudE,b3397
yrfF,b3398
yrfG,b3399
hslR,b3400
hslO,b3401
yhgE,b3402
pck,b3403
envZ,b3404
ompR,b3405
greB,b3406
yhgF,b3407
feoA,b3408
feoB,b3409
feoC,b3410
yhgA,b3411
bioH,b3412
gntX,b3413
nfuA,b3414
gntT,b3415
malQ,b3416
malP,b3417
malT,b3418
rtcA,b4475
rtcB,b3421
rtcR,b3422
glpR,b3423
glpG,b3424
glpE,b3425
glpD,b3426
yzgL,b3427
glgP,b3428
glgA,b3429
glgC,b3430
glgX,b3431
glgB,b3432
asd,b3433
yhgN,b3434
gntU,b4476
gntK,b3437
gntR,b3438
yhhW,b3439
yhhX,b3440
ryhB,b4451
yhhY,b3441
yhhZ,b3442
yrhA,b3443
insA_5,b3444
insB1_5,b3445
yrhB,b3446
ggt,b3447
yhhA,b3448
ugpQ,b3449
ugpC,b3450
ugpE,b3451
ugpA,b3452
ugpB,b3453
livF,b3454
livG,b3455
livM,b3456
livH,b3457
livK,b3458
panM,b3459
livJ,b3460
rpoH,b3461
ftsX,b3462
ftsE,b3463
ftsY,b3464
rsmD,b3465
yhhL,b3466
yhhM,b3467
yhhN,b3468
zntA,b3469
tusA,b3470
yhhQ,b3471
dcrB,b3472
yhhS,b3473
yhhT,b3474
acpT,b3475
nikA,b3476
nikB,b3477
nikC,b3478
nikD,b3479
nikE,b3480
nikR,b3481
rhsB,b3482
yhhH,b3483
yrhC,b4552
yhhI,b3484
yhhJ,b3485
rbbA,b3486
yhiI,b3487
yhiJ,b3488
yhiL,b4660
yhiM,b3491
yhiN,b3492
pitA,b3493
uspB,b3494
uspA,b3495
dtpB,b3496
rsmJ,b3497
prlC,b3498
rlmJ,b3499
gor,b3500
dinQ,b4613
agrA,b4712
agrB,b4713
arsR,b3501
arsB,b3502
arsC,b3503
yhiS,b3504
insH1_10,b3505
slp,b3506
dctR,b3507
yhiD,b3508
hdeB,b3509
hdeA,b3510
hdeD,b3511
arrS,b4704
gadE,b3512
mdtE,b3513
mdtF,b3514
gadW,b3515
gadY,b4452
gadX,b3516
gadA,b3517
yhjA,b3518
treF,b3519
yhjB,b3520
yhjC,b3521
yhjD,b3522
yhjE,b3523
yhjG,b3524
yhjH,b3525
kdgK,b3526
yhjJ,b3527
dctA,b3528
yhjK,b3529
bcsC,b3530
bcsZ,b3531
bcsB,b3532
bcsA,b3533
bcsQ,b3534
yhjR,b3535
bcsE,b3536
bcsF,b3537
bcsG,b3538
ldrD,b4453
rdlD,b4454
yhjV,b3539
dppF,b3540
dppD,b3541
dppC,b3542
dppB,b3543
dppA,b3544
proK,b3545
eptB,b3546
yhjX,b3547
yhjY,b3548
tag,b3549
yiaC,b3550
bisC,b3551
yiaD,b3552
ghrB,b3553
yiaF,b3554
yiaG,b3555
cspA,b3556
mokA,b4647
hokA,b4455
insJ,b3557
insK,b3558
sokA,b4614
glyS,b3559
glyQ,b3560
ysaB,b4553
wecH,b3561
yiaA,b3562
yiaB,b3563
xylB,b3564
xylA,b3565
xylF,b3566
xylG,b3567
xylH,b3568
xylR,b3569
bax,b3570
malS,b3571
avtA,b3572
ysaA,b3573
yiaJ,b3574
yiaK,b3575
yiaL,b3576
yiaM,b3577
yiaN,b3578
yiaO,b3579
lyxK,b3580
sgbH,b3581
sgbU,b3582
sgbE,b3583
ysaC,b4648
ysaD,b4649
yiaT,b3584
yiaU,b3585
yiaV,b3586
yiaW,b3587
aldB,b3588
yiaY,b3589
selB,b3590
selA,b3591
yibF,b3592
rhsA,b3593
yibA,b3594
rhsJ,b3595
yibG,b3596
yibS,b4650
yibW,b4651
yibV,b4615
yibU,b4652
yibH,b3597
yibI,b3598
mtlA,b3599
mtlD,b3600
mtlR,b3601
yibT,b4554
yibL,b3602
lldP,b3603
lldR,b3604
lldD,b3605
trmL,b3606
cysE,b3607
gpsA,b3608
secB,b3609
grxC,b3610
yibN,b3611
gpmM,b3612
envC,b3613
yibQ,b3614
waaH,b3615
tdh,b3616
kbl,b3617
yibB,b3618
hldD,b3619
waaF,b3620
waaC,b3621
waaL,b3622
waaU,b3623
waaZ,b3624
waaY,b3625
waaR,b3626
waaO,b3627
waaB,b3628
waaS,b3629
waaP,b3630
waaG,b3631
waaQ,b3632
waaA,b3633
coaD,b3634
mutM,b3635
rpmG,b3636
rpmB,b3637
yicR,b3638
dfp,b3639
dut,b3640
slmA,b3641
pyrE,b3642
rph,b3643
yicC,b3644
dinD,b3645
yicG,b3646
ligB,b3647
gmk,b3648
rpoZ,b3649
spoT,b3650
trmH,b3651
recG,b3652
gltS,b3653
xanP,b3654
yicH,b3655
yicI,b3656
yicJ,b3657
selC,b3658
yicT,b4653
setC,b3659
yicL,b3660
nlpA,b3661
yicS,b4555
nepI,b3662
yicN,b3663
adeQ,b3664
adeD,b3665
uhpT,b3666
uhpC,b3667
uhpB,b3668
uhpA,b3669
ilvN,b3670
ilvB,b3671
ivbL,b3672
istR,b4616
tisB,b4618
emrD,b3673
yidF,b3674
yidG,b3675
yidH,b3676
yidI,b3677
yidJ,b3678
yidK,b3679
yidL,b3680
glvG,b4556
glvC,b3683
yidP,b3684
yidE,b3685
ibpB,b3686
ibpA,b3687
yidQ,b3688
yidR,b3689
cbrA,b3690
dgoT,b3691
dgoD,b4478
dgoA,b4477
dgoK,b3693
dgoR,b4479
yidX,b3696
yidA,b3697
yidB,b3698
gyrB,b3699
recF,b3700
dnaN,b3701
dnaA,b3702
rpmH,b3703
rnpA,b3704
yidD,b4557
yidC,b3705
mnmE,b3706
tnaC,b3707
tnaA,b3708
tnaB,b3709
mdtL,b3710
yidZ,b3711
yieE,b3712
chrR,b3713
adeP,b3714
yieH,b3715
cbrB,b3716
cbrC,b3717
yieK,b3718
yieL,b3719
bglH,b3720
bglB,b3721
bglF,b3722
bglG,b3723
phoU,b3724
pstB,b3725
pstA,b3726
pstC,b3727
pstS,b3728
glmS,b3729
glmU,b3730
atpC,b3731
atpD,b3732
atpG,b3733
atpA,b3734
atpH,b3735
atpF,b3736
atpE,b3737
atpB,b3738
atpI,b3739
rsmG,b3740
mnmG,b3741
mioC,b3742
asnC,b3743
asnA,b3744
viaA,b3745
ravA,b3746
kup,b3747
rbsD,b3748
rbsA,b3749
rbsC,b3750
rbsB,b3751
rbsK,b3752
rbsR,b3753
hsrA,b3754
yieP,b3755
rrsC,b3756
gltU,b3757
rrlC,b3758
rrfC,b3759
aspT,b3760
trpT,b3761
hdfR,b4480
yifE,b3764
yifB,b3765
ilvL,b3766
ilvX,b4669
ilvG,b4488
ilvM,b3769
ilvE,b3770
ilvD,b3771
ilvA,b3772
ilvY,b3773
ilvC,b3774
ppiC,b3775
yifN,b3777
rep,b3778
gpp,b3779
rhlB,b3780
trxA,b3781
rho,b3783
wecA,b3784
wzzE,b3785
wecB,b3786
wecC,b3787
rffG,b3788
rffH,b3789
wecD,b3790
wecE,b3791
wzxE,b3792
wecF,b4481
wzyE,b3793
wecG,b3794
yifK,b3795
argX,b3796
hisR,b3797
leuT,b3798
proM,b3799
aslB,b3800
aslA,b3801
glmZ,b4456
hemY,b3802
hemX,b3803
hemD,b3804
hemC,b3805
cyaA,b3806
cyaY,b3807
yifL,b4558
dapF,b3809
yigA,b3810
xerC,b3811
yigB,b3812
uvrD,b3813
yigE,b4482
corA,b3816
yigF,b3817
yigG,b3818
rarD,b3819
yigI,b3820
pldA,b3821
recQ,b3822
rhtC,b3823
rhtB,b3824
pldB,b3825
yigL,b3826
yigM,b3827
metR,b3828
metE,b3829
ysgA,b3830
udp,b3831
rmuC,b3832
ubiE,b3833
ubiJ,b3834
esrE,b4707
ubiB,b3835
tatA,b3836
tatB,b3838
tatC,b3839
tatD,b4483
rfaH,b3842
ubiD,b3843
fre,b3844
fadA,b3845
fadB,b3846
pepQ,b3847
yigZ,b3848
trkH,b3849
hemG,b3850
rrsA,b3851
ileT,b3852
alaT,b3853
rrlA,b3854
rrfA,b3855
mobB,b3856
mobA,b3857
yihD,b3858
srkA,b3859
dsbA,b3860
yihF,b3861
yihG,b3862
polA,b3863
spf,b3864
yihA,b3865
csrC,b4457
yihI,b3866
hemN,b3867
yshB,b4686
glnG,b3868
glnL,b3869
glnA,b3870
typA,b3871
yihL,b3872
yihM,b3873
yihN,b3874
ompL,b3875
yihO,b3876
yihP,b3877
yihQ,b3878
yihR,b3879
yihS,b3880
yihT,b3881
yihU,b3882
yihV,b3883
yihW,b3884
yihX,b3885
yihY,b3886
dtd,b3887
yiiD,b3888
yiiE,b3889
yiiF,b3890
fdhE,b3891
fdoI,b3892
fdoH,b3893
fdoG,b3894
fdhD,b3895
yiiG,b3896
frvR,b3897
frvX,b3898
frvB,b3899
frvA,b3900
rhaM,b3901
rhaD,b3902
rhaA,b3903
rhaB,b3904
rhaS,b3905
rhaR,b3906
rhaT,b3907
sodA,b3908
kdgT,b3909
yiiM,b3910
cpxA,b3911
cpxR,b3912
cpxP,b4484
fieF,b3915
pfkA,b3916
sbp,b3917
cdh,b3918
tpiA,b3919
yiiQ,b3920
yiiR,b3921
yiiS,b3922
uspD,b3923
fpr,b3924
glpX,b3925
glpK,b3926
glpF,b3927
zapB,b3928
rraA,b3929
menA,b3930
hslU,b3931
hslV,b3932
ftsN,b3933
cytR,b3934
priA,b3935
rpmE,b3936
yiiX,b3937
metJ,b3938
metB,b3939
metL,b3940
metF,b3941
katG,b3942
yijE,b3943
yijF,b3944
gldA,b3945
fsaB,b3946
frwA,b3947
frwC,b3949
frwB,b3950
pflD,b3951
pflC,b3952
frwD,b3953
yijO,b3954
eptC,b3955
ppc,b3956
argE,b3957
argC,b3958
argB,b3959
argH,b3960
oxyS,b4458
oxyR,b3961
sthA,b3962
fabR,b3963
yijD,b3964
trmA,b3965
btuB,b3966
murI,b3967
rrsB,b3968
gltT,b3969
rrlB,b3970
rrfB,b3971
murB,b3972
birA,b3973
coaA,b3974
thrU,b3976
tyrU,b3977
glyT,b3978
thrT,b3979
tufB,b3980
secE,b3981
nusG,b3982
rplK,b3983
rplA,b3984
rplJ,b3985
rplL,b3986
rpoB,b3987
rpoC,b3988
yjaZ,b3989
sroH,b4691
thiH,b3990
thiG,b3991
thiS,b4407
thiF,b3992
thiE,b3993
thiC,b3994
rsd,b3995
nudC,b3996
hemE,b3997
nfi,b3998
yjaG,b3999
hupA,b4000
yjaH,b4001
zraP,b4002
zraS,b4003
zraR,b4004
purD,b4005
purH,b4006
rrsE,b4007
gltV,b4008
rrlE,b4009
rrfE,b4010
yjaA,b4011
yjaB,b4012
metA,b4013
aceB,b4014
aceA,b4015
aceK,b4016
arpA,b4017
iclR,b4018
metH,b4019
yjbB,b4020
pepE,b4021
rluF,b4022
yjbD,b4023
lysC,b4024
pgi,b4025
yjbE,b4026
yjbF,b4027
yjbG,b4028
yjbH,b4029
yjbT,b4620
psiE,b4030
xylE,b4031
malG,b4032
malF,b4033
malE,b4034
malK,b4035
lamB,b4036
malM,b4037
yjbI,b4038
ubiC,b4039
ubiA,b4040
plsB,b4041
dgkA,b4042
lexA,b4043
dinF,b4044
yjbJ,b4045
zur,b4046
yjbL,b4047
yjbM,b4048
dusA,b4049
pspG,b4050
qorA,b4051
dnaB,b4052
alr,b4053
tyrB,b4054
yjbS,b4621
aphA,b4055
yjbQ,b4056
yjbR,b4057
uvrA,b4058
ssb,b4059
yjcB,b4060
yjcC,b4061
soxS,b4062
soxR,b4063
ryjA,b4459
ghxP,b4064
yjcE,b4065
yjcF,b4066
actP,b4067
yjcH,b4068
acs,b4069
nrfA,b4070
nrfB,b4071
nrfC,b4072
nrfD,b4073
nrfE,b4074
nrfF,b4075
nrfG,b4076
gltP,b4077
yjcO,b4078
fdhF,b4079
mdtP,b4080
mdtO,b4081
mdtN,b4082
ytcA,b4622
yjcS,b4083
alsK,b4084
alsE,b4085
alsC,b4086
alsA,b4087
alsB,b4088
alsR,b4089
rpiB,b4090
yjdP,b4487
phnP,b4092
phnO,b4093
phnN,b4094
phnM,b4095
phnL,b4096
phnK,b4097
phnJ,b4098
phnI,b4099
phnH,b4100
phnG,b4101
phnF,b4102
phnE,b4104
phnD,b4105
phnC,b4106
yjdN,b4107
yjdM,b4108
crfC,b4109
yjcZ,b4110
proP,b4111
pmrR,b4703
basS,b4112
basR,b4113
eptA,b4114
adiC,b4115
adiY,b4116
adiA,b4117
melR,b4118
melA,b4119
melB,b4120
yjdF,b4121
fumB,b4122
dcuB,b4123
dcuR,b4124
dcuS,b4125
yjdI,b4126
yjdJ,b4127
ghoS,b4128
ghoT,b4559
lysU,b4129
dtpC,b4130
cadA,b4131
cadB,b4132
cadC,b4133
yjdQ,b4654
pheU,b4134
yjdC,b4135
dsbD,b4136
cutA,b4137
dcuA,b4138
aspA,b4139
fxsA,b4140
yjeH,b4141
groS,b4142
groL,b4143
yjeI,b4144
yjeJ,b4145
epmB,b4146
efp,b4147
ecnA,b4410
ecnB,b4411
sugE,b4148
blc,b4149
ampC,b4150
frdD,b4151
frdC,b4152
frdB,b4153
frdA,b4154
epmA,b4155
yjeM,b4156
yjeN,b4157
yjeO,b4158
mscM,b4159
psd,b4160
rsgA,b4161
orn,b4162
glyV,b4163
glyX,b4164
glyY,b4165
yjeV,b4670
queG,b4166
nnr,b4167
tsaE,b4168
amiB,b4169
mutL,b4170
miaA,b4171
hfq,b4172
hflX,b4173
hflK,b4174
hflC,b4175
yjeT,b4176
purA,b4177
nsrR,b4178
rnr,b4179
rlmB,b4180
yjfI,b4181
yjfJ,b4182
yjfK,b4183
yjfL,b4184
yjfM,b4185
yjfC,b4186
aidB,b4187
yjfN,b4188
bsmA,b4189
yjfP,b4190
ulaR,b4191
ulaG,b4192
ulaA,b4193
ulaB,b4194
ulaC,b4195
ulaD,b4196
ulaE,b4197
ulaF,b4198
yjfY,b4199
rpsF,b4200
priB,b4201
rpsR,b4202
rplI,b4203
yjfZ,b4204
ytfA,b4205
ytfB,b4206
fklB,b4207
cycA,b4208
ytfE,b4209
ytfF,b4210
qorB,b4211
ytfH,b4212
cpdB,b4213
cysQ,b4214
ytfI,b4215
ytfJ,b4216
ytfK,b4217
ytfL,b4218
msrA,b4219
tamA,b4220
tamB,b4221
ytfP,b4222
chpS,b4224
chpB,b4225
ppa,b4226
ytfQ,b4227
ytfR,b4485
ytfT,b4230
yjfF,b4231
fbp,b4232
mpl,b4233
yjgA,b4234
pmbA,b4235
cybC,b4236
nrdG,b4237
nrdD,b4238
treC,b4239
treB,b4240
treR,b4241
mgtL,b4702
mgtA,b4242
ridA,b4243
pyrI,b4244
pyrB,b4245
pyrL,b4246
yjgH,b4248
bdcA,b4249
bdcR,b4251
tabA,b4252
yjgL,b4253
argI,b4254
rraB,b4255
yjgM,b4256
yjgN,b4257
valS,b4258
holC,b4259
pepA,b4260
lptF,b4261
lptG,b4262
yjgR,b4263
idnR,b4264
idnT,b4265
idnO,b4266
idnD,b4267
idnK,b4268
ahr,b4269
leuX,b4270
intB,b4271
insC1_5,b4272
insD1_6,b4273
yjgX,b4575
yjgZ,b4277
insG,b4278
yjhB,b4279
yjhC,b4280
ythA,b4655
yjhD,b4281
yjhE,b4282
insO,b4623
insI1_3,b4284
insM,b4561
yjhV,b4286
fecE,b4287
fecD,b4288
fecC,b4289
fecB,b4290
fecA,b4291
fecR,b4292
fecI,b4293
insA_6,b4294
insB1_6,b4576
yjhU,b4295
yjhF,b4296
yjhG,b4297
yjhH,b4298
yjhI,b4299
sgcR,b4300
sgcE,b4301
sgcA,b4302
ryjB,b4624
sgcQ,b4303
sgcC,b4304
sgcB,b4565
sgcX,b4305
yjhY,b4656
yjhP,b4306
yjhQ,b4307
yjhX,b4566
yjhZ,b4657
yjhR,b4308
nanS,b4309
nanM,b4310
nanC,b4311
fimB,b4312
fimE,b4313
fimA,b4314
fimI,b4315
fimC,b4316
fimD,b4317
fimF,b4318
fimG,b4319
fimH,b4320
gntP,b4321
uxuA,b4322
uxuB,b4323
uxuR,b4324
yjiC,b4325
iraD,b4326
hypT,b4327
iadA,b4328
yjiG,b4329
yjiH,b4330
kptA,b4331
yjiJ,b4332
yjiK,b4333
yjiL,b4334
yjiM,b4335
yjiN,b4336
mdtM,b4337
yjiP,b4339
yjiR,b4340
yjiS,b4341
yjiT,b4342
yjiV,b4486
mcrC,b4345
mcrB,b4346
symE,b4347
symR,b4625
hsdS,b4348
hsdM,b4349
hsdR,b4350
mrr,b4351
yjiA,b4352
yjiX,b4353
yjiY,b4354
tsr,b4355
lgoT,b4356
lgoR,b4357
lgoD,b4358
opgB,b4359
yjjA,b4360
dnaC,b4361
dnaT,b4362
yjjB,b4363
yjjP,b4364
yjjQ,b4365
bglJ,b4366
fhuF,b4367
yjjZ,b4567
leuV,b4368
leuP,b4369
leuQ,b4370
rsmC,b4371
holD,b4372
rimI,b4373
yjjG,b4374
prfC,b4375
osmY,b4376
ytjA,b4568
yjjU,b4377
yjjV,b4378
yjjW,b4379
yjjI,b4380
deoC,b4381
deoA,b4382
deoB,b4383
deoD,b4384
yjjJ,b4385
lplA,b4386
ytjB,b4387
serB,b4388
radA,b4389
nadR,b4390
ettA,b4391
slt,b4392
trpR,b4393
yjjX,b4394
ytjC,b4395
rob,b4396
creA,b4397
creB,b4398
creC,b4399
creD,b4400
arcA,b4401
yjjY,b4402
yjtD,b4403
